"artist";"title";"day";"hour"
"Kim Carnes";"Bette Davis Eyes";"2020-04-05";"03:30"
"Jennifer Paige";"Crush";"2020-04-05";"03:27"
"Patrick Bruel";"J'te L'dis Quand Meme";"2020-04-05";"03:23"
"Bruno Mars";"Treasure";"2020-04-05";"03:20"
"Supertramp";"Breakfast In America";"2020-04-05";"03:13"
"Louane";"Si T'etais La";"2020-04-05";"03:11"
"Eternal";"I Wanna Be The Only One";"2020-04-05";"03:07"
"Tracy Chapman";"Talkin' Bout Revolution";"2020-04-05";"03:01"
"Whitney Houston";"Run To You";"2020-04-05";"02:53"
"Wham";"Wake Me Up Before You Go-Go";"2020-04-05";"02:46"
"Les Innocents";"Colore";"2020-04-05";"02:39"
"Modjo";"Lady (Hear Me Tonight)";"2020-04-05";"02:35"
"Lady Gaga";"Always Remember Us This Way";"2020-04-05";"02:24"
"Fredericks Goldman Jones";"A Nos Actes Manques";"2020-04-05";"02:19"
"Craig David & Sting";"Rise And Fall";"2020-04-05";"02:13"
"Alphaville";"Forever Young";"2020-04-05";"02:09"
"Take That";"Back For Good";"2020-04-05";"02:01"
"Shaed & Zayn";"Trampoline";"2020-04-05";"01:58"
"Shania Twain";"You're Still The One";"2020-04-05";"01:55"
"Geri Halliwell";"It's Raining Men";"2020-04-05";"01:51"
"Ub 40";"Kingston Town";"2020-04-05";"01:44"
"Gerald De Palmas";"J'en Reve Encore";"2020-04-05";"01:37"
"Irene Cara";"What A Feelin'";"2020-04-05";"01:30"
"Mariah Carey";"Without You";"2020-04-05";"01:26"
"Axelle Red";"Sensualite";"2020-04-05";"01:09"
"Scorpions";"Wind Of Change";"2020-04-05";"01:01"
"Claudio Capeo";"Ma Jolie";"2020-04-05";"00:57"
"Alicia Keys";"Fallin'";"2020-04-05";"00:53"
"Jasmine Thompson";"Mad World";"2020-04-05";"00:46"
"Kyo";"Derniere Danse";"2020-04-05";"00:43"
"Jennifer Lopez";"If You Had My Love";"2020-04-05";"00:35"
"Michael Sembello";"Maniac";"2020-04-05";"00:27"
"Roch Voisine";"Tant Pis";"2020-04-05";"00:23"
"Billy Joel";"Honesty";"2020-04-05";"00:16"
"Janet Jackson";"Together Again";"2020-04-05";"00:08"
"Elton John";"I'm Still Standing";"2020-04-05";"00:01"
"Britney Spears";"Baby One More Time";"2020-04-04";"23:54"
"John Legend";"All Of Me";"2020-04-04";"23:51"
"Queen";"Another One Bites The Dust";"2020-04-04";"23:48"
"Christina Aguilera";"Genie In A Bottle";"2020-04-04";"23:40"
"Daniel Powter";"Bad Day";"2020-04-04";"23:36"
"Antoine Elie";"La Rose Et L'armure";"2020-04-04";"23:33"
"Inxs";"Need You Tonight";"2020-04-04";"23:30"
"Justin Bieber";"Love Yourself";"2020-04-04";"23:22"
"Nik Kershaw";"The Riddle";"2020-04-04";"23:18"
"Emmanuel Moire";"Je Fais De Toi Mon Essentiel";"2020-04-04";"23:11"
"Stevie Wonder";"Part Time Lover";"2020-04-04";"23:07"
"Kendji Girac";"Tu Vas Manquer";"2020-04-04";"23:05"
"Donna Lewis";"I Love You Always Forever";"2020-04-04";"23:01"
"Rihanna";"Don't Stop The Music";"2020-04-04";"22:55"
"Joe Cocker";"You Can Leave Your Hat On";"2020-04-04";"22:47"
"Les Frangines";"Donnez-Moi";"2020-04-04";"22:43"
"Tlc";"No Scrubs";"2020-04-04";"22:41"
"Celine Dion";"Encore Un Soir";"2020-04-04";"22:37"
"Zazie";"Zen";"2020-04-04";"22:28"
"Destiny's Child";"Survivor";"2020-04-04";"22:24"
"Mike Oldfield";"Moonlight Shadow";"2020-04-04";"22:17"
"Daft Punk";"Instant Crush";"2020-04-04";"22:12"
"Neneh Cherry";"7 Seconds";"2020-04-04";"22:08"
"Clara Luciani";"La Grenade";"2020-04-04";"22:05"
"Sam Brown";"Stop";"2020-04-04";"22:01"
"Sting";"Fields Of Gold";"2020-04-04";"21:53"
"Norah Jones";"Don't Know Why";"2020-04-04";"21:51"
"Zazie";"J'envoie Valser";"2020-04-04";"21:47"
"Bryan Ferry";"Slave To Love";"2020-04-04";"21:40"
"George Michael";"One More Try";"2020-04-04";"21:32"
"U2";"One";"2020-04-04";"21:23"
"Lady Gaga";"I'll Never Love Again";"2020-04-04";"21:20"
"Paul Young";"Everytime You Go Away";"2020-04-04";"21:16"
"Jeff Buckley";"Hallelujah";"2020-04-04";"21:08"
"Craig David";"Walking Away";"2020-04-04";"21:05"
"France Gall";"Evidemment";"2020-04-04";"21:01"
"Peter Kingsberry";"Only The Very Best";"2020-04-04";"20:53"
"Sade";"No Ordinary Love";"2020-04-04";"20:46"
"Simply Red";"If You Don't Know Me By Now";"2020-04-04";"20:40"
"Francis Cabrel";"La Corrida";"2020-04-04";"20:35"
"Rod Stewart";"Sailing";"2020-04-04";"20:28"
"Faith No More";"Easy";"2020-04-04";"20:22"
"Sia";"Unstoppable";"2020-04-04";"20:18"
"Richard Marx";"Right Here Waiting";"2020-04-04";"20:14"
"Yseult";"Corps";"2020-04-04";"20:10"
"Dido";"Thank You";"2020-04-04";"20:07"
"Vanessa Paradis";"Il Y A";"2020-04-04";"20:05"
"Bryan Adams";"(Everything I Do) I Do It For You";"2020-04-04";"20:01"
"Phil Collins";"Everyday";"2020-04-04";"19:52"
"Elisa Tovati";"Il Nous Faut";"2020-04-04";"19:49"
"The Commodores";"Nightshift";"2020-04-04";"19:45"
"Antoine Elie";"La Rose Et L'armure";"2020-04-04";"19:42"
"Elton John";"Whispers";"2020-04-04";"19:36"
"A Ha";"Hunting High And Low";"2020-04-04";"19:28"
"Peter Cincotti";"Goobye Philadelphia";"2020-04-04";"19:25"
"Axelle Red";"Parce Que C'est Toi";"2020-04-04";"19:09"
"Lady Gaga Et Bradley Coop";"Shallow";"2020-04-04";"19:05"
"Toto";"Africa";"2020-04-04";"19:01"
"Jeremy Frerot";"Revoir";"2020-04-04";"18:50"
"Gerry Rafferty";"Baker Street";"2020-04-04";"18:46"
"James Arthur";"Impossible";"2020-04-04";"18:34"
"Angele";"Flou";"2020-04-04";"18:23"
"Cyndi Lauper";"True Colors";"2020-04-04";"18:19"
"Julien Dore";"Paris Seychelles";"2020-04-04";"18:13"
"Billy Joel";"Honesty";"2020-04-04";"18:09"
"Kendji Girac";"Tu Vas Manquer";"2020-04-04";"18:06"
"Neneh Cherry";"7 Seconds";"2020-04-04";"18:02"
"Ace Of Base";"All That She Wants";"2020-04-04";"17:53"
"Chimene Badi";"Entre Nous";"2020-04-04";"17:49"
"Wham";"Wake Me Up Before You Go-Go";"2020-04-04";"17:46"
"Vianney";"Je M'en Vais";"2020-04-04";"17:42"
"R.e.m";"Losing My Religion";"2020-04-04";"17:38"
"Mylene Farmer";"Sans Contrefacon";"2020-04-04";"17:30"
"Adele";"Rolling In The Deep";"2020-04-04";"17:24"
"Tina Turner";"We Don't Need Another Hero";"2020-04-04";"17:15"
"Louane";"On Etait Beau (Version Clean Louder)";"2020-04-04";"17:12"
"Mariah Carey";"My All";"2020-04-04";"17:08"
"The Police";"Every Breath You Take";"2020-04-04";"17:00"
"Michael Bolton";"When A Man Loves A Woman";"2020-04-04";"16:52"
"Daniel Balavoine";"Mon Fils Ma Bataille";"2020-04-04";"16:48"
"Justin Nozuka & Zaho";"Heartless";"2020-04-04";"16:41"
"Eternal";"I Wanna Be The Only One";"2020-04-04";"16:38"
"Iz";"Over The Rainbow";"2020-04-04";"16:23"
"Clara Luciani";"Ma Soeur";"2020-04-04";"16:20"
"Lauren Daigle";"You Say";"2020-04-04";"16:13"
"Pascal Obispo";"Tombe Pour Elle";"2020-04-04";"16:09"
"Alain Souchon";"L'amour A La Machine";"2020-04-04";"15:51"
"Lewis Capaldi";"Someone You Loved";"2020-04-04";"15:48"
"Bill Medley";"The Time Of My Life";"2020-04-04";"15:44"
"Charles & Eddie";"Would I Lie To You";"2020-04-04";"15:36"
"Shakira";"Loca";"2020-04-04";"15:33"
"Francis Cabrel";"Il Faudra Leur Dire";"2020-04-04";"15:29"
"Murray Head";"Say It Ain't So Joe";"2020-04-04";"15:19"
"Ed Sheeran Feat. Khalid";"Beautiful People";"2020-04-04";"15:15"
"Raphael";"Caravane";"2020-04-04";"15:12"
"Nik Kershaw";"The Riddle";"2020-04-04";"15:08"
"Lady Gaga Et Bradley Coop";"Shallow";"2020-04-04";"15:04"
"Larusso";"Tu M'oublieras";"2020-04-04";"15:01"
"Vanessa Carlton";"A Thousand Miles";"2020-04-04";"14:52"
"Dido";"Here With Me";"2020-04-04";"14:39"
"Dht Feat. Edmee";"Listen To Your Heart";"2020-04-04";"14:23"
"Clara Luciani";"La Grenade";"2020-04-04";"14:12"
"Des'ree";"Life";"2020-04-04";"14:08"
"Queen";"A Kind Of Magic";"2020-04-04";"14:01"
"Arthur Simms";"It's Only Mystery";"2020-04-04";"13:47"
"Alicia Keys";"If I Ain't Got You";"2020-04-04";"13:40"
"Gerald De Palmas";"Sur La Route";"2020-04-04";"13:37"
"Bananarama";"Cruel Summer";"2020-04-04";"13:30"
"Enrique Iglesias";"Tired Of Being Sorry";"2020-04-04";"13:23"
"Daniel Balavoine";"Vivre Ou Survivre";"2020-04-04";"13:16"
"Lady Gaga";"Always Remember Us This Way";"2020-04-04";"13:12"
